Configuracion,Ciclo,Tiempo Total (s),Tokens Entrada,Tokens Salida,Temperature,Top_P,Repeat_Penalty
Config_2_Balanceada,4,6.845456838607788,55,60,0.7,0.9,1.2
Config_2_Balanceada,5,6.933638334274292,55,60,0.7,0.9,1.2
Config_2_Balanceada,6,7.300060749053955,55,60,0.7,0.9,1.2
Config_2_Balanceada,7,7.371932744979858,55,60,0.7,0.9,1.2
Config_2_Balanceada,8,7.335710525512695,55,60,0.7,0.9,1.2
Config_2_Balanceada,9,7.062809228897095,55,60,0.7,0.9,1.2
Config_2_Balanceada,10,7.011832237243652,55,60,0.7,0.9,1.2
Config_2_Balanceada,11,7.337247848510742,55,60,0.7,0.9,1.2
Config_2_Balanceada,12,6.928456544876099,55,60,0.7,0.9,1.2
Config_2_Balanceada,13,7.111717224121094,55,60,0.7,0.9,1.2
Config_2_Balanceada,14,7.047831058502197,55,60,0.7,0.9,1.2
Config_2_Balanceada,15,6.850803375244141,55,60,0.7,0.9,1.2
Config_2_Balanceada,16,7.054438829421997,55,60,0.7,0.9,1.2
Config_2_Balanceada,17,7.234699249267578,55,60,0.7,0.9,1.2
Config_2_Balanceada,18,6.889574766159058,55,60,0.7,0.9,1.2
Config_2_Balanceada,19,7.350300312042236,55,60,0.7,0.9,1.2
Config_2_Balanceada,20,7.301655292510986,55,60,0.7,0.9,1.2
Config_2_Balanceada,21,7.157283067703247,55,60,0.7,0.9,1.2
Config_2_Balanceada,22,7.093533277511597,55,60,0.7,0.9,1.2
Config_2_Balanceada,23,7.189004182815552,55,60,0.7,0.9,1.2
Config_2_Balanceada,24,7.320699453353882,55,60,0.7,0.9,1.2
Config_2_Balanceada,25,7.289067506790161,55,60,0.7,0.9,1.2
Config_2_Balanceada,26,7.406805753707886,55,60,0.7,0.9,1.2
Config_2_Balanceada,27,6.999759674072266,55,60,0.7,0.9,1.2
Config_2_Balanceada,28,7.191656589508057,55,60,0.7,0.9,1.2
Config_2_Balanceada,29,6.9253761768341064,55,60,0.7,0.9,1.2
Config_2_Balanceada,30,7.046689033508301,55,60,0.7,0.9,1.2
Config_2_Balanceada,31,7.135416507720947,55,60,0.7,0.9,1.2
Config_2_Balanceada,32,7.296716213226318,55,60,0.7,0.9,1.2
Config_2_Balanceada,33,7.0729920864105225,55,60,0.7,0.9,1.2
Config_2_Balanceada,34,6.8538596630096436,55,60,0.7,0.9,1.2
Config_2_Balanceada,35,7.257044076919556,55,60,0.7,0.9,1.2
Config_2_Balanceada,36,7.237447738647461,55,60,0.7,0.9,1.2
Config_2_Balanceada,37,7.271855592727661,55,60,0.7,0.9,1.2
Config_2_Balanceada,38,6.938547372817993,55,60,0.7,0.9,1.2
Config_2_Balanceada,39,7.024532079696655,55,60,0.7,0.9,1.2
Config_2_Balanceada,40,7.36862850189209,55,60,0.7,0.9,1.2
Config_2_Balanceada,41,7.003575086593628,55,60,0.7,0.9,1.2
Config_2_Balanceada,42,7.087321519851685,55,60,0.7,0.9,1.2
Config_2_Balanceada,43,7.267601490020752,55,60,0.7,0.9,1.2
Config_2_Balanceada,44,7.329798221588135,55,60,0.7,0.9,1.2
Config_2_Balanceada,45,7.423046588897705,55,60,0.7,0.9,1.2
Config_2_Balanceada,46,7.32431697845459,55,60,0.7,0.9,1.2
Config_2_Balanceada,47,7.0670366287231445,55,60,0.7,0.9,1.2
