timestamp_unix,timestamp_iso,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,yaw_speed,body_height,mode,gait_type,obstacle_0,obstacle_1,obstacle_2,obstacle_3,battery_soc,battery_current_ma,power_v,power_a
1780536847.249969,2026-06-03T19:34:07.249971,-1.841908,-3.406338,0.307961,0.008934,0.009377,-0.023114,-0.014021,0.045464,1.605978,0.694248,-0.02122,0.010745,0.719343,-0.003196,0.014914,-0.024501,-0.664391,0.00838,9.549273,-0.024501,0.320511,0,0,0,0,0,0,60,-1746,29.242949,
1780536847.394919,2026-06-03T19:34:07.394920,-1.841864,-3.406277,0.307953,-0.004753,0.002454,-0.024058,-0.013952,0.045614,1.606024,0.694231,-0.02125,0.010821,0.719357,-0.005326,-0.025566,0.009587,-0.666785,0.166397,9.470264,0.009587,0.320516,0,0,0,0,0,0,60,-1746,29.242949,
1780536847.5448012,2026-06-03T19:34:07.544802,-1.841868,-3.406235,0.307955,-8.1e-05,1.5e-05,-0.02382,-0.013918,0.04563,1.60578,0.694319,-0.021243,0.010841,0.719272,-0.018109,-0.006392,-0.010653,-0.707487,0.099359,9.49301,-0.010653,0.320523,0,0,0,0,0,0,60,-1746,29.242949,
1780536847.6452148,2026-06-03T19:34:07.645216,-1.841866,-3.406262,0.307976,0.000276,0.001567,-0.024001,-0.013963,0.045686,1.606001,0.694238,-0.02128,0.010842,0.719349,-0.007457,-0.010653,0.004261,-0.705092,0.110133,9.500193,0.004261,0.320517,0,0,0,0,0,0,60,-1746,29.242949,
1780536847.7453055,2026-06-03T19:34:07.745307,-1.841914,-3.406233,0.307979,-9.7e-05,-0.005558,-0.023257,-0.014007,0.045662,1.605908,0.694271,-0.021286,0.010819,0.719317,0.006392,0.026632,-0.004261,-0.663194,0.063446,9.496601,-0.004261,0.320517,0,0,0,0,0,0,60,-1746,29.242949,
1780536847.8945482,2026-06-03T19:34:07.894549,-1.841895,-3.406231,0.307987,-0.003642,0.010984,-0.023085,-0.014013,0.045804,1.606197,0.694166,-0.021341,0.010864,0.719417,-0.004261,-0.018109,-0.013848,-0.669179,0.063446,9.488221,-0.013848,0.320514,0,0,0,0,0,0,60,-1746,29.242949,
1780536847.9949553,2026-06-03T19:34:07.994956,-1.8419,-3.4062,0.307962,0.006825,0.004696,-0.023627,-0.013977,0.045667,1.605913,0.69427,-0.021278,0.010832,0.719319,0.001065,0.010653,-0.010653,-0.703895,0.113725,9.554062,-0.010653,0.320518,0,0,0,0,0,0,60,-1723,29.242949,
1780536848.0968935,2026-06-03T19:34:08.096895,-1.841824,-3.40624,0.307959,-0.009168,0.008277,-0.024745,-0.013818,0.04564,1.605997,0.694242,-0.021213,0.010878,0.719347,-0.011718,-0.033023,-0.023436,-0.691924,0.0826,9.482236,-0.023436,0.320521,0,0,0,0,0,0,60,-1723,29.242949,
1780536848.244535,2026-06-03T19:34:08.244537,-1.841845,-3.406231,0.30796,0.008824,0.002698,-0.023814,-0.013836,0.045654,1.605734,0.694336,-0.021223,0.01088,0.719256,-0.002131,0.013848,-0.013848,-0.748188,0.1652,9.495404,-0.013848,0.320516,0,0,0,0,0,0,60,-1723,29.242949,
1780536848.3975358,2026-06-03T19:34:08.397537,-1.841909,-3.406268,0.307957,-0.005469,-0.000253,-0.023851,-0.013952,0.045529,1.605878,0.694284,-0.021219,0.010793,0.719307,0.002131,-0.017044,-0.005326,-0.702698,-0.010774,9.491813,-0.005326,0.32052,0,0,0,0,0,0,60,-1723,29.242949,
1780536848.5445933,2026-06-03T19:34:08.544595,-1.8418,-3.40625,0.307966,0.001232,0.002853,-0.023994,-0.013715,0.045633,1.605981,0.694249,-0.021175,0.010913,0.719341,-0.010653,0.007457,-0.008522,-0.70629,0.166397,9.471462,-0.008522,0.320518,0,0,0,0,0,0,60,-1723,29.242949,
1780536848.694609,2026-06-03T19:34:08.694611,-1.841831,-3.406336,0.307949,0.001853,0.005132,-0.024263,-0.013756,0.045357,1.605789,0.69432,-0.021089,0.010805,0.719276,-0.012783,0.02024,0,-0.703895,0.140061,9.417592,0,0.320515,0,0,0,0,0,0,60,-1723,29.242949,
1780536848.8446033,2026-06-03T19:34:08.844604,-1.841931,-3.406308,0.307929,-0.004244,0.016517,-0.024379,-0.014003,0.045363,1.605864,0.694291,-0.021177,0.010717,0.719303,-0.005326,-0.02024,-0.021305,-0.667982,0.002394,9.466674,-0.021305,0.32052,0,0,0,0,0,0,60,-1723,29.242949,
1780536848.994581,2026-06-03T19:34:08.994582,-1.841877,-3.406253,0.30793,0.002257,0.020415,-0.024581,-0.013943,0.045545,1.605763,0.694326,-0.021221,0.010803,0.719267,-0.022371,0.018109,-0.011718,-0.645237,0.226252,9.495404,-0.011718,0.320517,0,0,0,0,0,0,60,-1780,29.242949,
1780536849.0965464,2026-06-03T19:34:09.096547,-1.841954,-3.406255,0.307953,0.010373,-0.001953,-0.023227,-0.014093,0.045492,1.605546,0.694403,-0.021253,0.010733,0.719193,0.006392,-0.013848,-0.019175,-0.724246,-0.005986,9.520543,-0.019175,0.32052,0,0,0,0,0,0,60,-1780,29.242949,
1780536849.2444868,2026-06-03T19:34:09.244488,-1.841899,-3.406316,0.307967,0.006931,0.011986,-0.023049,-0.014003,0.045447,1.605802,0.694312,-0.021207,0.010747,0.719281,-0.015979,0.013848,-0.004261,-0.673968,0.161609,9.448717,-0.004261,0.320514,0,0,0,0,0,0,60,-1780,29.242949,
